CDT Code,Full Description,Short Description,Category,Standard Fee ($),PPO Fee ($)
D0417,collection and preparation of saliva sample for laboratory diagnostic testing,,Diag / Img,100.0,80.0
D0418,analysis of saliva sample,,Diag / Img,100.0,80.0
D0419,assessment of salivary flow by measurement,,Diag / Img,100.0,80.0
D0422,collection and preparation of genetic sample material for laboratory analysis and report,,Diag / Img,100.0,80.0
D0423,genetic test for susceptibility to diseases – specimen analysis,,Diag / Img,100.0,80.0
D0425,caries susceptibility tests,,Diag / Img,100.0,80.0
D0431,"adjunctive pre-diagnostic test that aids in detection of mucosal abnormalities including premalignant and malignant lesions, not to include cytology or biopsy procedures",,Diag / Img,100.0,80.0
D0460,pulp vitality tests,,Diag / Img,100.0,80.0
D0470,diagnostic casts,,Diag / Img,100.0,80.0
D0472,"accession of tissue, gross examination, preparation and transmission of written report",,Diag / Img,100.0,80.0
D0473,"accession of tissue, gross and microscopic examination, preparation and transmission of written report",,Diag / Img,100.0,80.0
D0474,"accession of tissue, gross and microscopic examination, including assessment of surgical margins for presence of disease, preparation and transmission of written report",,Diag / Img,100.0,80.0
D0475,decalcification procedure,,Diag / Img,100.0,80.0
D0476,special stains for microorganisms,,Diag / Img,100.0,80.0
D0477,"special stains, not for microorganisms",,Diag / Img,100.0,80.0
D0478,immunohistochemical stains,,Diag / Img,100.0,80.0
D0479,"tissue in-situ hybridization, including interpretation",,Diag / Img,100.0,80.0
D0480,"accession of exfoliative cytologic smears, microscopic examination, preparation and transmission of written report",,Diag / Img,100.0,80.0
D0481,electron microscopy,,Diag / Img,100.0,80.0
D0482,direct immunofluorescence,,Diag / Img,100.0,80.0
D0483,indirect immunofluorescence,,Diag / Img,100.0,80.0
D0484,consultation on slides prepared elsewhere,,Diag / Img,100.0,80.0
D0485,"consultation, including preparation of slides from biopsy material supplied by referring source",,Diag / Img,100.0,80.0
D0486,"laboratory accession of transepithelial cytologic sample, microscopic examination, preparation and transmission of written report",,Diag / Img,100.0,80.0
D0502,"other oral pathology procedures, by report",,Diag / Img,100.0,80.0
D0600,"non-ionizing diagnostic procedure capable of quantifying,  monitoring, and recording changes in structure of enamel, dentin, and cementum",,Diag / Img,100.0,80.0
D0601,"caries risk assessment and documentation, with a finding of low risk",,Diag / Img,100.0,80.0
D0602,"caries risk assessment and documentation, with a finding of moderate risk",,Diag / Img,100.0,80.0
D0603,"caries risk assessment and documentation, with a finding of high risk",,Diag / Img,100.0,80.0
D0604,"antigen testing for a public health related pathogen, including coronavirus",,Diag / Img,100.0,80.0
D0605,"antibody testing for a public health related pathogen, including coronavirus",,Diag / Img,100.0,80.0
D0701,panoramic radiographic image – image capture only,,Diag / Img,100.0,80.0
D0702,2-D cephalometric radiographic image – image capture only,,Diag / Img,100.0,80.0
D0703,2-D oral/facial photographic image obtained intra-orally or extra-orally – image capture only,,Diag / Img,100.0,80.0
D0704,3-D photographic image – image capture only,,Diag / Img,100.0,80.0
D0705,extra-oral posterior dental radiographic image – image capture only,,Diag / Img,100.0,80.0
D0706,intraoral – occlusal radiographic image – image capture only,,Diag / Img,100.0,80.0
D0707,intraoral – periapical radiographic image – image capture only,,Diag / Img,100.0,80.0
D0708,intraoral – bitewing radiographic image – image capture only,,Diag / Img,100.0,80.0
D0709,intraoral – complete series of radiographic images – image capture only,,Diag / Img,100.0,80.0
D0999,"unspecified diagnostic procedure, by report",,Diag / Img,100.0,80.0
D1110,prophylaxis - adult,Adult Prophy,Prev,115.0,92.0
D1120,prophylaxis - child,Child Prophy,Prev,90.0,72.0
D1206,topical application of fluoride varnish,Fluoride Varnish,Prev,45.0,36.0
D1208,topical application of fluoride – excluding varnish,,Prev,45.0,36.0
D1310,nutritional counseling for control of dental disease,,Prev,100.0,80.0
D1320,tobacco counseling for the control and prevention of oral disease,,Prev,100.0,80.0
D1321,"counseling for the control and prevention of adverse oral, behavioral, and systemic health effects associated with high-risk substance use",,Prev,100.0,80.0
D1330,oral hygiene instructions,,Prev,100.0,80.0
D1351,sealant - per tooth,Sealant Per Tooth,Prev,60.0,48.0
D1352,preventive resin restoration in a moderate to high caries risk patient – permanent tooth,,Prev,100.0,80.0
D1353,sealant repair – per tooth,,Prev,60.0,48.0
D1354,interim caries arresting medicament application – per tooth,,Prev,100.0,80.0
D1355,caries preventive medicament application – per tooth,,Prev,100.0,80.0
D1510,"space maintainer - fixed, unilateral – per quadrant",,Prev,100.0,80.0
D1516,"space maintainer - fixed - bilateral, maxillary",,Prev,100.0,80.0
D1517,"space maintainer - fixed - bilateral, mandibular",,Prev,100.0,80.0
D1520,"space maintainer - removable, unilateral - per quadrant",,Prev,100.0,80.0
D1526,"space maintainer - removable - bilateral, maxillary",,Prev,100.0,80.0
D1527,"space maintainer - removable - bilateral, mandibular",,Prev,100.0,80.0
D1551,re-cement or re-bond bilateral space maintainer - maxillary,,Prev,100.0,80.0
D1552,re-cement or re-bond bilateral space maintainer - mandibular,,Prev,100.0,80.0
D1553,re-cement or re-bond unilateral space maintainer - per quadrant,,Prev,100.0,80.0
D1556,removal of fixed unilateral space maintainer - per quadrant,,Prev,100.0,80.0
D1557,removal of fixed bilateral space maintainer - maxillary,,Prev,100.0,80.0
D1558,removal of fixed bilateral space maintainer - mandibular,,Prev,100.0,80.0
D1575,"distal shoe space maintainer - fixed, unilateral - per quadrant",,Prev,100.0,80.0
D1999,"unspecified preventive procedure, by report",,Prev,100.0,80.0
D2140,"amalgam - one surface, primary or permanent",,Rest / Prosth • Direct,250.0,200.0
D2150,"amalgam - two surfaces, primary or permanent",,Rest / Prosth • Direct,250.0,200.0
D2160,"amalgam - three surfaces, primary or permanent",,Rest / Prosth • Direct,250.0,200.0
D2161,"amalgam - four or more surfaces, primary or permanent",,Rest / Prosth • Direct,250.0,200.0
D2330,"resin-based composite - one surface, anterior",Composite Ant 1S,Rest / Prosth • Direct,180.0,144.0
D2331,"resin-based composite - two surfaces, anterior",Composite Ant 2S,Rest / Prosth • Direct,215.0,172.0
D2332,"resin-based composite - three surfaces, anterior",,Rest / Prosth • Direct,285.0,228.0
D2335,resin-based composite - four or more surfaces or involving incisal angle (anterior),,Rest / Prosth • Direct,325.0,260.0
D2390,"resin-based composite crown, anterior",,Rest / Prosth • Direct,1100.0,880.0
D2391,"resin-based composite - one surface, posterior",Composite Post 1S,Rest / Prosth • Direct,185.0,148.0
D2392,"resin-based composite - two surfaces, posterior",Composite Post 2S,Rest / Prosth • Direct,235.0,188.0
D2393,"resin-based composite - three surfaces, posterior",,Rest / Prosth • Direct,285.0,228.0
D2394,"resin-based composite - four or more surfaces, posterior",,Rest / Prosth • Direct,325.0,260.0
D2410,gold foil - one surface,,Rest / Prosth • Direct,250.0,200.0
D2420,gold foil - two surfaces,,Rest / Prosth • Direct,250.0,200.0
D2430,gold foil - three surfaces,,Rest / Prosth • Direct,250.0,200.0
D2510,inlay - metallic - one surface,,Rest / Prosth • Direct,250.0,200.0
D2520,inlay - metallic - two surfaces,,Rest / Prosth • Direct,250.0,200.0
D2530,inlay - metallic - three or more surfaces,,Rest / Prosth • Direct,250.0,200.0
D2542,onlay - metallic - two surfaces,,Rest / Prosth • Direct,250.0,200.0
D2543,onlay - metallic - three surfaces,,Rest / Prosth • Direct,250.0,200.0
D2544,onlay - metallic - four or more surfaces,,Rest / Prosth • Direct,250.0,200.0
D2610,inlay - porcelain/ceramic - one surface,,Rest / Prosth • Direct,250.0,200.0
D2620,inlay - porcelain/ceramic - two surfaces,,Rest / Prosth • Direct,250.0,200.0
D2630,inlay - porcelain/ceramic - three or more surfaces,,Rest / Prosth • Direct,250.0,200.0
D2642,onlay - porcelain/ceramic - two surfaces,,Rest / Prosth • Direct,250.0,200.0
D2643,onlay - porcelain/ceramic - three surfaces,,Rest / Prosth • Direct,250.0,200.0
D2644,onlay - porcelain/ceramic - four or more surfaces,,Rest / Prosth • Direct,250.0,200.0
D2650,inlay - resin-based composite - one surface,,Rest / Prosth • Direct,185.0,148.0
D2651,inlay - resin-based composite - two surfaces,,Rest / Prosth • Direct,235.0,188.0
D2652,inlay - resin-based composite - three or more surfaces,,Rest / Prosth • Direct,285.0,228.0
D2662,onlay - resin-based composite - two surfaces,,Rest / Prosth • Direct,235.0,188.0
D2663,onlay - resin-based composite - three surfaces,,Rest / Prosth • Direct,285.0,228.0
D2664,onlay - resin-based composite - four or more surfaces,,Rest / Prosth • Direct,325.0,260.0
D2710,crown - resin-based composite (indirect),,Rest / Prosth • Direct,1100.0,880.0
D2712,crown - ¾ resin-based composite (indirect),,Rest / Prosth • Direct,1100.0,880.0
D2720,crown - resin with high noble metal,,Rest / Prosth • Direct,1100.0,880.0
D2721,crown - resin with predominantly base metal,,Rest / Prosth • Direct,1100.0,880.0
D2722,crown - resin with noble metal,,Rest / Prosth • Direct,1100.0,880.0
D2740,crown - porcelain/ceramic,Crown Zirconia,Rest / Prosth • Fixed,1250.0,1000.0
D2750,crown - porcelain fused to high noble metal,,Rest / Prosth • Direct,1250.0,1000.0
D2751,crown - porcelain fused to predominantly base metal,,Rest / Prosth • Direct,1250.0,1000.0
D2752,crown - porcelain fused to noble metal,Crown PFM Noble,Rest / Prosth • Fixed,1200.0,960.0
D2753,crown - porcelain fused to titanium and titanium alloys,,Rest / Prosth • Direct,1250.0,1000.0
D2780,crown - 3/4 cast high noble metal,,Rest / Prosth • Direct,1100.0,880.0
D2781,crown - 3/4 cast predominantly base metal,,Rest / Prosth • Direct,1100.0,880.0
D2782,crown - 3/4 cast noble metal,,Rest / Prosth • Direct,1100.0,880.0
D2783,crown - 3/4 porcelain/ceramic,,Rest / Prosth • Direct,1250.0,1000.0
D2790,crown - full cast high noble metal,,Rest / Prosth • Direct,1100.0,880.0
D2791,crown - full cast predominantly base metal,,Rest / Prosth • Direct,1100.0,880.0
D2792,crown - full cast noble metal,,Rest / Prosth • Direct,1100.0,880.0
D2794,crown - titanium and titanium alloys,,Rest / Prosth • Direct,1100.0,880.0
D2799,provisional crown– further treatment or completion of diagnosis necessary prior to final impression,,Rest / Prosth • Direct,1100.0,880.0
D2910,"re-cement or re-bond inlay, onlay, veneer or partial coverage restoration",,Rest / Prosth • Direct,250.0,200.0
D2915,re-cement or re-bond indirectly fabricated or prefabricated post and core,,Rest / Prosth • Direct,250.0,200.0
D2920,re-cement or re-bond crown,,Rest / Prosth • Direct,1100.0,880.0
D2921,"reattachment of tooth fragment, incisal edge or cusp",,Rest / Prosth • Direct,250.0,200.0
D2928,prefabricated porcelain/ceramic crown – permanent tooth,,Rest / Prosth • Direct,1250.0,1000.0
D2929,prefabricated porcelain/ceramic crown – primary tooth,,Rest / Prosth • Direct,1250.0,1000.0
D2930,prefabricated stainless steel crown - primary tooth,,Rest / Prosth • Direct,300.0,240.0
D2931,prefabricated stainless steel crown - permanent tooth,,Rest / Prosth • Direct,300.0,240.0
D2932,prefabricated resin crown,,Rest / Prosth • Direct,1100.0,880.0
D2933,prefabricated stainless steel crown with resin window,,Rest / Prosth • Direct,300.0,240.0
D2934,prefabricated esthetic coated stainless steel crown - primary tooth,,Rest / Prosth • Direct,300.0,240.0
D2940,protective restoration,,Rest / Prosth • Direct,250.0,200.0
D2941,interim therapeutic restoration – primary dentition,,Rest / Prosth • Direct,250.0,200.0
D2949,restorative foundation for an indirect restoration,,Rest / Prosth • Direct,250.0,200.0
D2950,"core buildup, including any pins when required",Core Build Up,Rest / Prosth • Fixed,285.0,228.0
D2951,"pin retention - per tooth, in addition to restoration",,Rest / Prosth • Direct,250.0,200.0
D2952,"post and core in addition to crown, indirectly fabricated",,Rest / Prosth • Direct,1100.0,880.0
D2953,each additional indirectly fabricated post - same tooth,,Rest / Prosth • Direct,250.0,200.0
D2954,prefabricated post and core in addition to crown,,Rest / Prosth • Direct,1100.0,880.0
D2955,post removal,,Rest / Prosth • Direct,250.0,200.0
D2957,each additional prefabricated post - same tooth,,Rest / Prosth • Direct,250.0,200.0
D2960,labial veneer (resin laminate) - direct,,Rest / Prosth • Direct,250.0,200.0
D2961,labial veneer (resin laminate) - indirect,,Rest / Prosth • Direct,250.0,200.0
D2962,labial veneer (porcelain laminate) - indirect,,Rest / Prosth • Direct,250.0,200.0
D2971,additional procedures to construct new crown under existing partial denture framework,,Rest / Prosth • Direct,1100.0,880.0
D2975,coping,,Rest / Prosth • Direct,250.0,200.0
D2980,crown repair necessitated by restorative material failure,,Rest / Prosth • Direct,1100.0,880.0
D2981,inlay repair necessitated by restorative material failure,,Rest / Prosth • Direct,250.0,200.0
D2982,onlay repair necessitated by restorative material failure,,Rest / Prosth • Direct,250.0,200.0
D2983,veneer repair necessitated by restorative material failure,,Rest / Prosth • Direct,250.0,200.0
D2990,resin infiltration of incipient smooth surface lesions,,Rest / Prosth • Direct,250.0,200.0
D2999,"unspecified restorative procedure, by report",,Rest / Prosth • Direct,250.0,200.0
D3110,pulp cap - direct (excluding final restoration),,Endo,800.0,640.0
D3120,pulp cap - indirect (excluding final restoration),,Endo,800.0,640.0
D3220,therapeutic pulpotomy (excluding final restoration) - removal of pulp coronal to the dentinocemental junction and application of medicament,,Endo,800.0,640.0
D3221,"pulpal debridement, primary and permanent teeth",,Endo,800.0,640.0
D3222,partial pulpotomy for apexogenesis - permanent tooth with incomplete root development,,Endo,800.0,640.0
D3230,"pulpal therapy (resorbable filling) - anterior, primary tooth (excluding final restoration)",,Endo,775.0,620.0
D3240,"pulpal therapy (resorbable filling) - posterior, primary tooth (excluding final restoration)",,Endo,850.0,680.0
D3310,"endodontic therapy, anterior tooth (excluding final restoration)",RCT Anterior,Endo,775.0,620.0
D3320,"endodontic therapy, premolar tooth (excluding final restoration)",RCT Premolar,Endo,875.0,700.0
D3330,"endodontic therapy, molar tooth (excluding final restoration)",RCT Molar,Endo,975.0,780.0
D3331,treatment of root canal obstruction; non-surgical access,,Endo,800.0,640.0
D3332,"incomplete endodontic therapy; inoperable, unrestorable or fractured tooth",,Endo,850.0,680.0
D3333,internal root repair of perforation defects,,Endo,800.0,640.0
D3346,retreatment of previous root canal therapy - anterior,,Endo,775.0,620.0
D3347,retreatment of previous root canal therapy - premolar,,Endo,875.0,700.0
D3348,retreatment of previous root canal therapy - molar,,Endo,975.0,780.0
D3351,"apexification/recalcification – initial visit (apical closure/calcific repair of perforations, root resorption, etc.)",,Endo,800.0,640.0
D3352,apexification/recalcification – interim medication replacement,,Endo,800.0,640.0
D3353,"apexification/recalcification - final visit (includes completed root canal therapy - apical closure/calcific repair of perforations, root resorption, etc.)",,Endo,850.0,680.0
D3355,pulpal regeneration - initial visit,,Endo,800.0,640.0
D3356,pulpal regeneration - interim medication replacement,,Endo,800.0,640.0
D3357,pulpal regeneration - completion of treatment,,Endo,800.0,640.0
D3410,apicoectomy - anterior,Apicoectomy,Endo,850.0,680.0
D3421,apicoectomy - premolar (first root),,Endo,850.0,680.0
D3425,apicoectomy - molar (first root),,Endo,850.0,680.0
D3426,apicoectomy (each additional root),,Endo,850.0,680.0
D3427,periradicular surgery without apicoectomy,,Endo,850.0,680.0
D3428,"bone graft in conjunction with periradicular surgery – per tooth, single site",,Endo,800.0,640.0
D3429,bone graft in conjunction with periradicular surgery – each additional contiguous tooth in the same surgical site,,Endo,800.0,640.0
D3430,retrograde filling - per root,,Endo,800.0,640.0
D3431,biologic materials to aid in soft and osseous tissue regeneration in conjunction with periradicular surgery,,Endo,800.0,640.0
D3432,"guided tissue regeneration, resorbable barrier, per site, in conjunction with periradicular surgery",,Endo,800.0,640.0
D3450,root amputation - per root,,Endo,800.0,640.0
D3460,endodontic endosseous implant,,Endo,800.0,640.0
D3470,intentional re-implantation (including necessary splinting),,Endo,800.0,640.0
D3471,surgical repair of root resorption - anterior,,Endo,800.0,640.0
D3472,surgical repair of root resorption – premolar,,Endo,800.0,640.0
D3473,surgical repair of root resorption – molar,,Endo,800.0,640.0
D3501,surgical exposure of root surface without apicoectomy or repair of root resorption – anterior,,Endo,850.0,680.0
D3502,surgical exposure of root surface without apicoectomy or repair of root resorption – premolar,,Endo,850.0,680.0
D3503,surgical exposure of root surface without apicoectomy or repair of root resorption – molar,,Endo,850.0,680.0
D3910,surgical procedure for isolation of tooth with rubber dam,,Endo,800.0,640.0
D3920,"hemisection (including any root removal), not including root canal therapy",,Endo,850.0,680.0
D3950,canal preparation and fitting of preformed dowel or post,,Endo,800.0,640.0
D3999,"unspecified endodontic procedure, by report",,Endo,800.0,640.0
D4210,gingivectomy or gingivoplasty - four or more contiguous teeth or tooth bounded spaces per quadrant,,Perio,500.0,400.0
D4211,gingivectomy or gingivoplasty - one to three contiguous teeth or tooth bounded spaces per quadrant,,Perio,500.0,400.0
D4212,"gingivectomy or gingivoplasty to allow access for restorative procedure, per tooth",,Perio,500.0,400.0
D4230,anatomical crown exposure – four or more contiguous teeth or tooth bounded spaces per quadrant,,Perio,500.0,400.0
D4231,anatomical crown exposure – one to three teeth or tooth bounded spaces per quadrant,,Perio,500.0,400.0
D4240,"gingival flap procedure, including root planing - four or more contiguous teeth or tooth bounded spaces per quadrant",,Perio,500.0,400.0
D4241,"gingival flap procedure, including root planing - one to three contiguous teeth or tooth bounded spaces per quadrant",,Perio,500.0,400.0
D4245,apically positioned flap,,Perio,500.0,400.0
D4249,clinical crown lengthening – hard tissue,,Perio,500.0,400.0
D4260,osseous surgery (including elevation of a full thickness flap and closure) – four or more contiguous teeth or tooth bounded spaces per quadrant,,Perio,1200.0,960.0
D4261,osseous surgery (including elevation of a full thickness flap and closure) – one to three contiguous teeth or tooth bounded spaces per quadrant,,Perio,1200.0,960.0
D4263,bone replacement graft – retained natural tooth – first site in quadrant,,Perio,500.0,400.0
D4264,bone replacement graft – retained natural tooth – each additional site in quadrant,,Perio,500.0,400.0
D4265,biologic materials to aid in soft and osseous tissue regeneration,,Perio,1200.0,960.0
D4266,"guided tissue regeneration - resorbable barrier, per site",,Perio,500.0,400.0
D4267,"guided tissue regeneration - nonresorbable barrier, per site (includes membrane removal)",,Perio,500.0,400.0
D4268,"surgical revision procedure, per tooth",,Perio,500.0,400.0
D4270,pedicle soft tissue graft procedure,,Perio,500.0,400.0
D4273,"autogenous connective tissue graft procedure (including donor and recipient surgical sites) first tooth, implant, or edentulous tooth position in graft",,Perio,500.0,400.0
D4274,"mesial/distal wedge procedure, single tooth (when not performed in conjunction with surgical procedures in the same anatomical area)",,Perio,500.0,400.0
D4275,"non-autogenous connective tissue graft (including recipient site and donor material) first tooth, implant, or edentulous tooth position in graft",,Perio,500.0,400.0
D4276,"combined connective tissue and double pedicle graft, per tooth",,Perio,500.0,400.0
D4277,"free soft tissue graft procedure (including recipient and donor surgical sites) first tooth, implant or edentulous tooth position in graft",,Perio,500.0,400.0
D4278,"free soft tissue graft procedure (including recipient and donor surgical sites) each additional contiguous tooth, implant or edentulous tooth position in same graft site",,Perio,500.0,400.0
D4283,"autogenous connective tissue graft procedure (including donor and recipient surgical sites) – each additional contiguous tooth, implant or edentulous tooth position in same graft site",,Perio,500.0,400.0
D4285,"non-autogenous connective tissue graft procedure (including recipient surgical site and donor material) – each additional contiguous tooth, implant or edentulous tooth position in same",,Perio,500.0,400.0
D4320,provisional splinting - intracoronal,,Perio,500.0,400.0
D4321,provisional splinting - extracoronal,,Perio,500.0,400.0
D4341,periodontal scaling and root planing - four or more teeth per quadrant,SRP Quad 4+,Perio,240.0,192.0
D4342,periodontal scaling and root planing - one to three teeth per quadrant,SRP Quad 1-3,Perio,185.0,148.0
D4346,"scaling in presence of generalized moderate or severe gingival inflammation – full mouth, after oral evaluation",Gingival Debridement,Prev,180.0,144.0
D4355,full mouth debridement to enable a comprehensive oral evaluation and diagnosis on a subsequent visit,,Perio,500.0,400.0
D4381,"localized delivery of antimicrobial agents via a controlled release vehicle into diseased crevicular tissue, per tooth",,Perio,500.0,400.0
D4910,periodontal maintenance,Perio Maint,Perio,145.0,116.0
D4920,unscheduled dressing change (by someone other than treating dentist or their staff),,Perio,500.0,400.0
D4921,gingival irrigation – per quadrant,,Perio,500.0,400.0
D4999,"unspecified periodontal procedure, by report",,Perio,500.0,400.0
D5110,complete denture - maxillary,,Rest / Prosth • Remov,2050.0,1640.0
D5120,complete denture - mandibular,,Rest / Prosth • Remov,2050.0,1640.0
D5130,immediate denture - maxillary,,Rest / Prosth • Remov,2000.0,1600.0
D5140,immediate denture - mandibular,,Rest / Prosth • Remov,2000.0,1600.0
D5211,"maxillary partial denture – resin base (including, retentive/clasping materials, rests, and teeth)",,Rest / Prosth • Remov,2350.0,1880.0
D5212,"mandibular partial denture – resin base (including, retentive/clasping materials, rests, and teeth)",,Rest / Prosth • Remov,2350.0,1880.0
D5213,"maxillary partial denture - cast metal framework with resin denture bases (including retentive/clasping materials, rests and teeth)",,Rest / Prosth • Remov,2350.0,1880.0
D5214,"mandibular partial denture - cast metal framework with resin denture bases (including retentive/clasping materials, rests and teeth)",,Rest / Prosth • Remov,2350.0,1880.0
D5221,"immediate maxillary partial denture - resin base (including retentive/clasping materials, rests and teeth)",,Rest / Prosth • Remov,2350.0,1880.0
D5222,"immediate mandibular partial denture - resin base (including retentive/clasping materials, rests and teeth)",,Rest / Prosth • Remov,2350.0,1880.0
D5223,"immediate maxillary partial denture - cast metal framework with resin denture bases (including retentive/clasping materials, rests and teeth)",,Rest / Prosth • Remov,2350.0,1880.0
D5224,"immediate mandibular partial denture - cast metal framework with resin denture bases (including retentive/clasping materials, rests and teeth)",,Rest / Prosth • Remov,2350.0,1880.0
D5225,"maxillary partial denture - flexible base (including retentive/clasping materials, rests, and teeth)",,Rest / Prosth • Remov,2350.0,1880.0
D5226,"mandibular partial denture - flexible base (including retentive/clasping materials, rests, and teeth)",,Rest / Prosth • Remov,2350.0,1880.0
D5282,"removable unilateral partial denture – one piece cast metal (including retentive/clasping materials, rests, and teeth), maxillary",,Rest / Prosth • Remov,2350.0,1880.0
D5283,"removable unilateral partial denture – one piece cast metal (including rententive/clasping materias, rests, and teeth), mandibular",,Rest / Prosth • Remov,2350.0,1880.0
D5284,"removable unilateral partial denture – one piece flexible base (including retentive/clasping materials, rests, and teeth) – per quadrant",,Rest / Prosth • Remov,2350.0,1880.0
D5286,"removable unilateral partial denture – one piece resin (including retentive/clasping materials, rests, and teeth) – per quadrant",,Rest / Prosth • Remov,2350.0,1880.0
D5410,adjust complete denture - maxillary,,Rest / Prosth • Remov,2050.0,1640.0
D5411,adjust complete denture - mandibular,,Rest / Prosth • Remov,2050.0,1640.0
D5421,adjust partial denture - maxillary,,Rest / Prosth • Remov,2350.0,1880.0
D5422,adjust partial denture - mandibular,,Rest / Prosth • Remov,2350.0,1880.0
D5511,"repair broken complete denture base, mandibular",,Rest / Prosth • Remov,2050.0,1640.0
D5512,"repair broken complete denture base, maxillary",,Rest / Prosth • Remov,2050.0,1640.0
D5520,replace missing or broken teeth - complete denture (each tooth),,Rest / Prosth • Remov,2050.0,1640.0
D5611,"repair resin partial denture base, mandibular",,Rest / Prosth • Remov,2350.0,1880.0
D5612,"repair resin partial denture base, maxillary",,Rest / Prosth • Remov,2350.0,1880.0
D5621,"repair cast partial framework, mandibular",,Rest / Prosth • Remov,1500.0,1200.0
D5622,"repair cast partial framework, maxillary",,Rest / Prosth • Remov,1500.0,1200.0
D5630,repair or replace broken retentive clasping materials – per tooth,,Rest / Prosth • Remov,1500.0,1200.0
D5640,replace broken teeth - per tooth,,Rest / Prosth • Remov,1500.0,1200.0
